denied,44
crowns,44
courtesy,44
colours,44
britain,44
trinculo,43
therein,43
shut,43
reverend,43
remain,43
puts,43
pain,43
minds,43
meat,43
manners,43
led,43
kneel,43
heat,43
fort,43
envy,43
edg,43
cheeks,43
charmian,43
catch,43
burgundy,43
brook,43
brabantio,43
blunt,43
blest,43
twill,42
turns,42
sometimes,42
ratcliff,42
painter,42
paid,42
masters,42
ladys,42
juliet,42
hortensio,42
grown,42
goodness,42
gifts,42
gain,42
forbear,42
fish,42
fellows,42
dukes,42
ducats,42
despair,42
dance,42
bassianus,42
approach,42
anger,42
always,42
absence,42
sits,41
sigh,41
shore,41
satisfied,41
realm,41
rare,41
rain,41
plot,41
oxford,41
outward,41
loved,41
laer,41
katherine,41
join,41
humbly,41
gate,41
freely,41
flood,41
fain,41
fail,41
evil,41
dearest,41
cure,41
cromwell,41
cost,41
chide,41
brings,41
breathe,41
bare,41
able,41
wash,40
vengeance,40
usd,40
undone,40
train,40
taught,40
suddenly,40
stranger,40
stars,40
skill,40
sheep,40
sees,40
rule,40
rose,40
receivd,40
ransom,40
rank,40
prize,40
powers,40
meaning,40
lovers,40
lover,40
list,40
le,40
lartius,40
knock,40
knife,40
hopes,40
henrys,40
former,40
few,40
ease,40
demand,40
deal,40
council,40
clouds,40
virtues,39
traitors,39
success,39
stones,39
stoln,39
spoken,39
silver,39
shine,39
romans,39
public,39
possible,39
plead,39
plantagenet,39
perfect,39
perdita,39
oaths,39
meant,39
lovell,39
jealous,39
instant,39
horns,39
graces,39
girl,39
gaunt,39
garments,39
gallant,39
feet,39
faint,39
easy,39
drops,39
divine,39
burning,39
betwixt,39
bark,39
wrath,38
wont,38
womb,38
streets,38
sleeping,38
shed,38
saying,38
sail,38
repair,38
quality,38
puck,38
promisd,38
party,38
number,38
nose,38
north,38
main,38
loose,38
knees,38
hearts,38
forsooth,38
flight,38
embrace,38
early,38
deserve,38
defend,38
credit,38
breed,38
biondello,38
alencon,38
aid,38
warlike,37
trick,37
tomb,37
tide,37
storm,37
spring,37
spake,37
salt,37
reg,37
policy,37
philip,37
perforce,37
orleans,37
offend,37
names,37
mere,37
encounter,37
civil,37
cave,37
bow,37
bought,37
blush,37
below,37
ant,37
wake,36
tyrant,36
triumph,36
tidings,36
thrive,36
supper,36
sign,36
showd,36
seest,36
sacred,36
sack,36
ross,36
returnd,36
playd,36
particular,36
painted,36
obedience,36
moth,36
mirth,36
meeting,36
lafeu,36
kisses,36
keeper,36
hollow,36
heavenly,36
guess,36
gross,36
fourth,36
flower,36
fiery,36
fatal,36
execution,36
estate,36
durst,36
dread,36
disposition,36
devise,36
desperate,36
delight,36
degree,36
darst,36
conduct,36
bids,36
bestow,36
authority,36
angel,36
alcibiades,36
adam,36
winter,35
winds,35
window,35
victory,35
undertake,35
thinking,35
teeth,35
t,35
sighs,35
sickness,35
ship,35
repent,35
rascal,35
montano,35
modesty,35
kindness,35
intend,35
hubert,35
hers,35
garden,35
frown,35
francis,35
followers,35
ferdinand,35
equal,35
edwards,35
doom,35
dares,35
damned,35
countenance,35
contrary,35
consider,35
charity,35
canterbury,35
bred,35
bishop,35
assure,35
yond,34
wench,34
villains,34
trial,34
touchd,34
titinius,34
thereof,34
strikes,34
star,34
speaking,34
sore,34
render,34
protest,34
natures,34
month,34
heed,34
haply,34
goths,34
glorious,34
gent,34
gaoler,34
flatter,34
fiend,34
fairly,34
enjoy,34
drownd,34
device,34
despite,34
deliverd,34
debt,34
constant,34
constance,34
commission,34
buried,34
bite,34
big,34
begins,34
bedford,34
armado,34
weeds,33
weapons,33
waste,33
treasure,33
tied,33
thrust,33
tarry,33
subjects,33
spare,33
smooth,33
sleeps,33
sirs,33
shot,33
runs,33
rosaline,33
rivers,33
ride,33
reputation,33
picture,33
numbers,33
merit,33
lucilius,33
i,33
highness,33
hie,33
hereafter,33
henceforth,33
grieve,33
frederick,33
dew,33
countrys,33
bind,33
bend,33
ambition,33
account,33
wishd,32
vice,32
tonight,32
throat,32
thinkst,32
thieves,32
theyll,32
substance,32
sorrows,32
smell,32
slander,32
six,32
shortly,32
root,32
revolt,32
reign,32
possessd,32
peril,32
pen,32
parted,32
offended,32
nine,32
naked,32
movd,32
limbs,32
learned,32
lean,32
kinsman,32
jessica,32
isle,32
herald,32
greek,32
greatest,32
glove,32
following,32
farther,32
falln,32
fairest,32
everything,32
draws,32
disgrace,32
dagger,32
custom,32
cranmer,32
countrymen,32
counterfeit,32
corin,32
cease,32
capitol,32
burden,32
bird,32
beaten,32
apt,32
advice,32
yare,31
wrought,31
wounded,31
worn,31
worlds,31
williams,31
vouchsafe,31
visit,31
violent,31
vincentio,31
twelve,31
tempest,31
study,31
store,31
staff,31
slew,31
sky,31
sends,31
salerio,31
rob,31
reverence,31
prisoners,31
places,31
perchance,31
outlaw,31
neighbour,31
milan,31
methought,31
looking,31
liest,31
ladyship,31
knaves,31
ignorant,31
ignorance,31
honey,31
gardiner,31
fruit,31
fits,31
fingers,31
feard,31
fairer,31
ends,31
empty,31
dying,31
dumb,31
don,31
dogs,31
dick,31
cur,31
conceit,31
car,31
bury,31
behalf,31
barren,31
attended,31
appears,31
ambitious,31
affections,31
warm,30
virgilia,30
unworthy,30
unknown,30
troyan,30
timons,30
tedious,30
swore,30
step,30
stays,30
sounds,30
soothsayer,30
silvius,30
shell,30
senate,30
revengd,30
raise,30
passd,30
pandulph,30
oclock,30
nobles,30
murther,30
mowbray,30
monsieur,30
moe,30
mistake,30
mischief,30
lines,30
knowing,30
intent,30
id,30
grecian,30
goose,30
fortunes,30
forces,30
flowers,30
flavius,30
firm,30
facd,30
escalus,30
entertain,30
edmund,30
edge,30
earnest,30
diomed,30
desert,30
cup,30
coz,30
contempt,30
cinna,30
chair,30
brows,30
bride,30
books,30
blessing,30
beauteous,30
alonso,30
alike,30
acquainted,30
wondrous,29
west,29
utter,29
tut,29
the,29
tells,29
surely,29
spur,29
sink,29
sides,29
seas,29
school,29
rock,29
ripe,29
prologue,29
prey,29
osw,29
nobility,29
native,29
naples,29
maids,29
leonato,29
image,29
horn,29
horatio,29
hid,29
hanging,29
groan,29
greet,29
feeble,29
eternal,29
envious,29
east,29
dwell,29
duncan,29
displeasure,29
dishonour,29
directly,29
consul,29
circumstance,29
brains,29
bodies,29
benefit,29
belly,29
bawd,29
bade,29
babe,29
angels,29
