1984-03-13T20:35:04.500Z,1984,03,34.78,23.78,32,5,mb,,,,1.3,us,usp00022mw,2014-11-07T00:34:37.938Z,Crete, Greece,earthquake,,4.7,,62,reviewed,us,us
1984-06-21T10:43:42.120Z,1984,06,35.36,23.238,39.1,6.2,mw,,,,1.2,us,usp000255c,2017-04-26T17:37:54.360Z,Crete, Greece,earthquake,,3.1,,,reviewed,us,hrv
1985-09-27T16:39:48.750Z,1985,09,34.506,26.599,61.4,5.6,mw,,,,1.2,us,usp0002k6x,2016-11-09T23:35:14.085Z,Crete, Greece,earthquake,,,,,reviewed,us,hrv
1986-05-22T19:52:21.870Z,1986,05,34.63,26.528,43,5.5,mw,,,,1.1,us,usp0002uas,2016-11-09T22:35:03.635Z,Crete, Greece,earthquake,,5.2,,,reviewed,us,hrv
1986-10-05T05:12:15.980Z,1986,10,34.672,23.317,15.1,5,mb,,,,1.2,us,usp0002ypt,2014-11-07T00:39:07.340Z,Crete, Greece,earthquake,,,,63,reviewed,us,us
1987-04-12T02:47:20.110Z,1987,04,35.502,23.37,46.9,5.1,mw,,,,1.3,us,usp000343h,2016-11-09T22:17:02.704Z,Crete, Greece,earthquake,,4.8,,,reviewed,us,hrv
1988-09-05T20:03:25.460Z,1988,09,34.476,26.59,10.6,5.3,mw,,,,1.4,us,usp0003kq3,2016-11-09T23:24:54.842Z,Crete, Greece,earthquake,,5.3,,,reviewed,us,hrv
1989-03-17T05:42:54.430Z,1989,03,34.662,25.45,31.3,5.7,mw,,,,1.3,us,usp0003t03,2016-11-09T22:06:10.049Z,Crete, Greece,earthquake,,6.3,,,reviewed,us,hrv
1989-03-28T13:29:14.440Z,1989,03,34.234,24.729,57.2,5.5,mw,,,,1.1,us,usp0003td0,2016-11-09T22:10:58.485Z,Crete, Greece,earthquake,,,,,reviewed,us,hrv
1989-06-14T18:06:38.260Z,1989,06,34.289,26.055,13.8,5.5,mw,,,,1.2,us,usp0003w96,2016-11-09T22:45:37.530Z,Crete, Greece,earthquake,,4.6,,,reviewed,us,hrv
1989-08-27T01:21:17.920Z,1989,08,34.921,26.24,61,5.6,mw,,,,1.2,us,usp0003yy9,2016-11-09T23:20:52.816Z,Crete, Greece,earthquake,,,,,reviewed,us,hrv
1990-07-09T11:22:20.350Z,1990,07,35.066,26.64,59.8,5.4,mw,,,,1.2,us,usp0004bkj,2016-11-09T22:56:58.321Z,Crete, Greece,earthquake,,,,,reviewed,us,hrv
1991-03-15T03:24:09.000Z,1991,03,34.343,26.389,7.1,5.2,mb,,,,1.3,us,usp0004p2k,2014-11-07T00:48:12.131Z,Crete, Greece,earthquake,,4.1,,81,reviewed,us,us
1991-03-19T12:09:24.840Z,1991,03,34.825,26.335,22.7,5.6,mw,,,,1.3,us,usp0004p8a,2016-11-09T22:06:52.752Z,Crete, Greece,earthquake,,,,,reviewed,us,hrv
1991-10-15T23:00:55.060Z,1991,10,34.433,26.24,21.3,5.2,mb,,,,1.4,us,usp0004xvq,2014-11-07T00:49:24.204Z,Crete, Greece,earthquake,,6.7,,44,reviewed,us,us
1992-04-30T11:44:38.950Z,1992,04,35.059,26.655,20,5.8,mw,,,,1.1,us,usp00056qd,2016-11-09T22:25:14.588Z,Crete, Greece,earthquake,,,,,reviewed,us,hrv
1994-05-23T06:46:16.120Z,1994,05,35.559,24.727,76,6.1,mw,,,,1,us,usp0006cz2,2017-04-26T17:49:02.592Z,Crete, Greece,earthquake,,2.7,,,reviewed,us,hrv
1995-12-07T18:00:54.380Z,1995,12,34.795,24.103,33,5.6,mw,,,,1.2,us,usp00078hn,2016-11-10T00:09:02.874Z,Crete, Greece,earthquake,,,,,reviewed,us,hrv
1995-12-10T03:27:49.740Z,1995,12,34.825,24.11,39.5,5.3,mw,,,,1.3,us,usp00078q9,2016-11-10T00:10:34.634Z,Crete, Greece,earthquake,,,,,reviewed,us,hrv
1996-07-20T00:00:41.880Z,1996,07,36.147,27.103,33,6.2,mwc,,,,1,us,usp0007m9a,2016-11-10T00:40:46.776Z,Dodecanese Islands, Greece,earthquake,,,,,reviewed,us,hrv
1996-07-22T01:44:38.070Z,1996,07,36.147,27.218,33,5.1,mwc,,,,1.1,us,usp0007mcr,2016-11-09T23:02:44.200Z,Dodecanese Islands, Greece,earthquake,,,,,reviewed,us,hrv
1997-03-18T11:26:16.010Z,1997,03,34.187,26.154,20,5.1,mb,,,,1.22,us,usp0007z0q,2014-11-07T01:02:20.422Z,Crete, Greece,earthquake,,,,71,reviewed,us,us
1997-11-05T12:22:55.460Z,1997,11,34.771,23.977,33,5.4,mwc,,,,1.13,us,usp0008a4f,2016-11-09T23:53:51.650Z,Crete, Greece,earthquake,,,,,reviewed,us,hrv
2000-02-22T11:55:25.630Z,2000,02,34.598,25.599,33,5.3,mwc,,,,1.19,us,usp0009nu4,2016-11-09T21:56:05.518Z,Crete, Greece,earthquake,,,,,reviewed,us,hrv
2000-03-10T22:01:45.970Z,2000,03,34.356,26.029,10,5.3,mwc,,,,0.98,us,usp0009phq,2016-11-09T22:02:47.014Z,Crete, Greece,earthquake,,,,,reviewed,us,hrv
2000-04-05T04:36:58.800Z,2000,04,34.22,25.69,38,5.5,mwc,,,,,us,usp0009que,2016-11-09T22:14:04.973Z,Crete, Greece,earthquake,,,,,reviewed,ath,hrv
2000-06-13T01:43:14.430Z,2000,06,35.146,27.125,10,5.4,mwc,261,,,1.32,us,usp0009ugd,2016-11-09T22:44:51.313Z,Dodecanese Islands, Greece,earthquake,,,,,reviewed,us,hrv
2001-11-26T05:03:21.010Z,2001,11,34.82,24.28,33,5.3,mwc,402,,,1.32,us,usp000atge,2016-11-10T00:03:22.897Z,Crete, Greece,earthquake,,,,,reviewed,us,hrv
2002-01-22T04:53:52.650Z,2002,01,35.79,26.617,88,6.2,mwc,390,,,0.95,us,usp000awya,2017-04-13T22:15:04.392Z,Crete, Greece,earthquake,,,,,reviewed,us,hrv
2002-06-06T22:35:41.980Z,2002,06,35.648,26.183,87.4,5.2,mwc,161,,,1.45,us,usp000b5nw,2016-11-09T22:41:37.055Z,Crete, Greece,earthquake,,,,,reviewed,us,hrv
2002-10-12T05:58:50.110Z,2002,10,34.772,26.371,10,5.4,mwc,362,,,1.23,us,usp000bebt,2016-11-09T23:42:12.760Z,Crete, Greece,earthquake,,,,,reviewed,us,hrv
2004-02-07T21:17:24.200Z,2004,02,36.04,26.91,25,5.1,mwc,423,35.3,,,us,usp000ckns,2016-11-10T00:25:33.126Z,Dodecanese Islands, Greece,earthquake,,,,,reviewed,ath,hrv
2004-03-17T05:21:00.800Z,2004,03,34.589,23.326,24.5,6.1,mwb,656,46.8,,1.01,us,usp000cq54,2016-11-10T00:28:57.428Z,Crete, Greece,earthquake,,,,,reviewed,us,us
2004-11-04T06:22:39.400Z,2004,11,35.945,23.115,74.4,5.3,mwb,599,45.5,,1.1,us,usp000d7nu,2016-11-10T00:50:54.063Z,Crete, Greece,earthquake,,,,,reviewed,us,us
2005-08-04T10:45:30.420Z,2005,08,34.887,26.497,9,5,mwc,280,54.2,,1.07,us,usp000dwng,2016-11-10T01:09:53.967Z,Crete, Greece,earthquake,,4.9,,,reviewed,us,hrv
2005-11-25T09:30:56.900Z,2005,11,35.02,23.32,32,5.2,mwc,450,51.4,,,us,usp000e4vn,2016-11-10T01:14:59.216Z,Crete, Greece,earthquake,,,,,reviewed,ath,hrv
2006-08-13T10:35:12.700Z,2006,08,34.42,26.566,32.5,5.3,mwc,490,42.3,,1.32,us,usp000eqv5,2016-11-10T01:26:56.638Z,Crete, Greece,earthquake,,,,,reviewed,us,hrv
2006-08-22T09:23:21.200Z,2006,08,35.24,27.12,31,5.1,mwc,365,52.1,,,us,usp000ergj,2016-11-10T01:27:19.353Z,Dodecanese Islands, Greece,earthquake,,,,,reviewed,ath,hrv
2007-09-23T00:54:29.600Z,2007,09,35.27,27.12,24,5.3,mwc,399,41.5,,,us,usp000fnxd,2016-11-10T01:45:50.883Z,Dodecanese Islands, Greece,earthquake,,,,,reviewed,ath,gcmt
2008-03-28T00:16:19.900Z,2008,03,34.758,25.345,45,5.6,mwb,560,41.6,,1.19,us,usp000g2h6,2016-11-10T01:53:38.450Z,Crete, Greece,earthquake,,,,,reviewed,us,us
2008-06-12T00:20:45.600Z,2008,06,35.11,26.19,29,5.1,mwc,522,41.4,,,us,usp000g99e,2016-11-10T01:57:17.244Z,Crete, Greece,earthquake,,,,,reviewed,ath,gcmt
2009-01-13T06:12:42.900Z,2009,01,35.66,26.39,42,5.3,mwc,186,30.4,,,us,usp000gshs,2016-11-10T02:06:35.605Z,Crete, Greece,earthquake,,,,,reviewed,ath,gcmt
2009-07-01T09:30:10.410Z,2009,07,34.164,25.471,19,6.4,mwc,396,20.5,,0.82,us,usp000gytt,2016-11-10T02:14:00.257Z,Crete, Greece,earthquake,,,,,reviewed,us,us
