Jinhua,4610000,People's Republic of China,http://www.wikidata.org/entity/Q48
Wuxi,4580000,People's Republic of China,http://www.wikidata.org/entity/Q48
Huaihua,4558000,People's Republic of China,http://www.wikidata.org/entity/Q48
Zibo,4530597,People's Republic of China,http://www.wikidata.org/entity/Q48
Melbourne,4529500,Australia,http://www.wikidata.org/entity/Q538
Jilin City,4500000,People's Republic of China,http://www.wikidata.org/entity/Q48
Kolkata,4496694,India,http://www.wikidata.org/entity/Q48
Dalian,4480000,People's Republic of China,http://www.wikidata.org/entity/Q48
Yangzhou,4459000,People's Republic of China,http://www.wikidata.org/entity/Q48
Yibin,4456000,People's Republic of China,http://www.wikidata.org/entity/Q48
Jiangmen,4448871,People's Republic of China,http://www.wikidata.org/entity/Q48
Johannesburg,4434827,South Africa,http://www.wikidata.org/entity/Q15
Jilin City,4413157,People's Republic of China,http://www.wikidata.org/entity/Q48
Chenzhou,4385000,People's Republic of China,http://www.wikidata.org/entity/Q48
Chifeng,4376600,People's Republic of China,http://www.wikidata.org/entity/Q48
Casablanca,4370000,Morocco,http://www.wikidata.org/entity/Q15
Guiyang,4365000,People's Republic of China,http://www.wikidata.org/entity/Q48
Langfang,4358839,People's Republic of China,http://www.wikidata.org/entity/Q48
Zhangjiakou,4345491,People's Republic of China,http://www.wikidata.org/entity/Q48
İzmir,4320519,Turkey,http://www.wikidata.org/entity/Q46
İzmir,4320519,Turkey,http://www.wikidata.org/entity/Q48
Linfen,4316610,People's Republic of China,http://www.wikidata.org/entity/Q48
Wenzhou,4310000,People's Republic of China,http://www.wikidata.org/entity/Q48
Luzhou,4291000,People's Republic of China,http://www.wikidata.org/entity/Q48
Xuchang,4289000,People's Republic of China,http://www.wikidata.org/entity/Q48
Neijiang,4238000,People's Republic of China,http://www.wikidata.org/entity/Q48
Guigang,4225000,People's Republic of China,http://www.wikidata.org/entity/Q48
Ziyang,4217000,People's Republic of China,http://www.wikidata.org/entity/Q48
Yiyang,4174000,People's Republic of China,http://www.wikidata.org/entity/Q48
Hengshui,4150000,People's Republic of China,http://www.wikidata.org/entity/Q48
Yichang,4115000,People's Republic of China,http://www.wikidata.org/entity/Q48
Chuzhou,4110000,People's Republic of China,http://www.wikidata.org/entity/Q48
Amman,4007526,Jordan,http://www.wikidata.org/entity/Q48
Los Angeles,3976322,United States of America,http://www.wikidata.org/entity/Q49
Los Angeles,3976322,United States of America,http://www.wikidata.org/entity/Q538
Jeddah,3976000,Saudi Arabia,http://www.wikidata.org/entity/Q48
Zhaoqing,3910000,People's Republic of China,http://www.wikidata.org/entity/Q48
Loudi,3901000,People's Republic of China,http://www.wikidata.org/entity/Q48
Huizhou,3875000,People's Republic of China,http://www.wikidata.org/entity/Q48
Baise,3859000,People's Republic of China,http://www.wikidata.org/entity/Q48
Fuzhou,3850000,People's Republic of China,http://www.wikidata.org/entity/Q48
Wuhu,3842100,People's Republic of China,http://www.wikidata.org/entity/Q48
Hechi,3784000,People's Republic of China,http://www.wikidata.org/entity/Q48
Binzhou,3779200,People's Republic of China,http://www.wikidata.org/entity/Q48
Zhangzhou,3760000,People's Republic of China,http://www.wikidata.org/entity/Q48
Yokohama,3748781,Japan,http://www.wikidata.org/entity/Q48
Baoji,3738700,People's Republic of China,http://www.wikidata.org/entity/Q48
Guang'an,3723000,People's Republic of China,http://www.wikidata.org/entity/Q48
Hanzhong,3700000,People's Republic of China,http://www.wikidata.org/entity/Q48
Zhuzhou,3696000,People's Republic of China,http://www.wikidata.org/entity/Q48
Tongren,3680000,People's Republic of China,http://www.wikidata.org/entity/Q48
Kabul,3678034,Afghanistan,http://www.wikidata.org/entity/Q48
Qingyuan,3660000,People's Republic of China,http://www.wikidata.org/entity/Q48
Zaozhuang,3650000,People's Republic of China,http://www.wikidata.org/entity/Q48
Anshan,3645884,People's Republic of China,http://www.wikidata.org/entity/Q48
Deyang,3636000,People's Republic of China,http://www.wikidata.org/entity/Q48
Liuzhou,3625000,People's Republic of China,http://www.wikidata.org/entity/Q48
Lanzhou,3616163,People's Republic of China,http://www.wikidata.org/entity/Q48
Berlin,3613495,Germany,http://www.wikidata.org/entity/Q46
Chengde,3610000,People's Republic of China,http://www.wikidata.org/entity/Q48
Puyang,3580000,People's Republic of China,http://www.wikidata.org/entity/Q48
Changzhou,3570000,People's Republic of China,http://www.wikidata.org/entity/Q48
Suining,3556000,People's Republic of China,http://www.wikidata.org/entity/Q48
Jiaozuo,3540101,People's Republic of China,http://www.wikidata.org/entity/Q48
Xiamen,3531347,People's Republic of China,http://www.wikidata.org/entity/Q48
Bengbu,3525000,People's Republic of China,http://www.wikidata.org/entity/Q48
Lüliang,3500000,People's Republic of China,http://www.wikidata.org/entity/Q48
Busan,3440484,South Korea,http://www.wikidata.org/entity/Q48
Hyderabad,3429471,Pakistan,http://www.wikidata.org/entity/Q48
Algiers,3415811,Algeria,http://www.wikidata.org/entity/Q15
Tianshui,3400000,People's Republic of China,http://www.wikidata.org/entity/Q48
Taiyuan,3398000,People's Republic of China,http://www.wikidata.org/entity/Q48
Lucknow,3382000,India,http://www.wikidata.org/entity/Q48
Chaoyang,3370000,People's Republic of China,http://www.wikidata.org/entity/Q48
Leshan,3364000,People's Republic of China,http://www.wikidata.org/entity/Q48
Jiaxing,3330000,People's Republic of China,http://www.wikidata.org/entity/Q48
Yulin,3328000,People's Republic of China,http://www.wikidata.org/entity/Q48
Heyuan,3320000,People's Republic of China,http://www.wikidata.org/entity/Q48
Siping,3300000,People's Republic of China,http://www.wikidata.org/entity/Q48
Madrid,3266126,Spain,http://www.wikidata.org/entity/Q46
Jinan,3250000,People's Republic of China,http://www.wikidata.org/entity/Q48
Changzhi,3230000,People's Republic of China,http://www.wikidata.org/entity/Q48
Shiyan,3228000,People's Republic of China,http://www.wikidata.org/entity/Q48
Faisalabad,3203846,Pakistan,http://www.wikidata.org/entity/Q48
Qinzhou,3200000,People's Republic of China,http://www.wikidata.org/entity/Q48
